MEMBER_RATING;OPTIN_TIME;OPTIN_IP;CONFIRM_TIME;CONFIRM_IP;LATITUDE;LONGITUDE;GMTOFF;DSTOFF;TIMEZONE;CC;REGION;LAST_CHANGED;LEID;EUID;NOTES;TAGS
3;2014-08-07 22:09:45;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75907727;b382e7eee6;;
2;2014-03-10 16:01:08;;2019-03-24 19:33:51;;;;;;;;;2019-03-24 19:33:51;75900515;92b89362e3;;
4;2014-08-03 22:16:34;;2019-03-24 19:33:56;;37.3805000;'-122.0820000;;;650;us;ca;2019-03-24 19:33:56;75906715;94c75fc08f;;
2;2013-06-02 23:04:08;;2019-03-24 19:33:41;;48.8299000;2.3264700;;;;fr;idf;2019-03-24 19:33:41;75886519;74a66bac87;;
2;2012-06-29 08:55:39;;2019-03-24 19:33:52;;;;;;;;;2019-03-24 19:33:52;75901311;a9d64a5a0c;;
2;2017-07-31 17:39:12;;2019-03-24 19:33:36;;50.7383000;7.0990800;;;;de;nw;2019-03-24 19:33:36;75879799;75a5ccb8c4;;
2;2019-08-05 20:59:42;;2019-08-05 20:59:42;72.84.242.250;37.5581000;'-77.3743000;;;804;us;va;2019-08-05 20:59:42;91238771;6ea5eb07bb;;
4;2012-06-29 08:55:59;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75908655;804cfb512f;;
2;2015-11-13 13:34:02;;2019-03-24 19:33:50;;40.7452000;'-73.9808000;;;212/332/646/917;us;ny;2019-03-24 19:33:50;75898507;17d4389672;;
5;2018-10-22 12:40:00;;2019-03-24 19:33:56;;46.1953000;6.2056800;;;;ch;ge;2019-06-11 16:47:53;75906415;4ede454174;;
2;2012-06-29 08:54:47;;2019-03-24 19:33:36;;;;;;;;;2019-03-24 19:33:36;75879911;1558d09dc3;;
5;2016-04-03 20:49:57;;2019-03-24 19:33:24;;33.7739000;'-84.2954000;;;404/678/470;us;ga;2019-03-24 19:33:24;75862687;7f158bfdc2;;
5;2017-11-08 11:32:38;;2019-03-24 19:33:40;;;;;;;;;2019-03-24 19:33:40;75885691;98d7162826;;
2;2012-06-29 08:54:41;;2019-03-24 19:33:35;;;;;;;;;2019-03-24 19:33:35;75878619;4412d0ffe0;;
3;2016-01-12 01:11:17;;2019-03-24 19:33:52;;;;;;;;;2019-03-24 19:33:52;75902303;7bc3e78db6;;
2;2017-04-25 08:27:16;;2019-03-24 19:33:32;;51.5154000;'-0.0924610;;;;uk;lnd;2019-03-24 19:33:32;75874751;77d91a8e09;;
2;2013-10-11 02:48:55;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75891747;f8fe2c4631;;
5;2018-01-29 12:27:38;;2019-03-24 19:33:43;;'-23.5156000;'-46.6295000;;;;br;sp;2019-03-24 19:33:43;75888831;fc27b8440b;;
5;2012-06-29 08:55:26;;2019-03-24 19:33:50;;40.6192000;'-73.9656000;;;718/347;us;ny;2019-03-24 19:33:50;75898655;5a9c58228f;;
5;2012-06-29 08:55:03;;2019-03-24 19:33:40;;51.5286000;'-0.2979370;;;;uk;eal;2019-03-24 19:33:40;75885835;f03e67459b;;
5;2012-11-19 12:05:41;;2019-03-24 19:33:34;;37.9742000;'-122.5090000;;;415/628;us;ca;2019-03-24 19:33:34;75876999;1a9038bed0;;
4;2018-03-13 04:46:48;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75891767;∞E+00;;
5;2015-10-06 16:17:19;;2019-03-24 19:33:45;;51.5100000;'-0.0150100;;;;uk;twh;2019-03-24 19:33:45;75892779;c53f62bb2c;;
4;2015-05-06 00:58:08;;2019-03-24 19:33:35;;'-33.8699000;151.2040000;;;;au;nsw;2019-03-24 19:33:35;75878823;30f5748bd4;;
2;2016-02-24 04:18:38;;2019-03-24 19:33:59;;;;;;;;;2019-03-24 19:33:59;75910743;aa4e40abab;;
2;2012-06-29 08:56:03;;2019-03-24 19:34:02;;;;;;;;;2019-03-24 19:34:02;75912995;b75aedbcdb;;
3;2014-12-31 19:23:20;;2019-03-24 19:33:28;;;;;;;;;2019-03-24 19:33:28;75867751;c4440cef25;;
5;2014-08-01 22:10:46;;2019-03-24 19:33:56;;37.5702000;'-122.3600000;;;650;us;ca;2019-03-24 19:33:56;75906671;7751813b85;;
3;2017-07-20 11:37:48;;2019-03-24 19:33:36;;;;;;;;;2019-03-24 19:33:36;75879283;6e29edcc50;;
3;2012-06-29 08:54:21;;2019-03-24 19:33:31;;40.6955000;'-73.9927000;;;718/347;us;ny;2019-03-24 19:33:31;75872547;fb0eebda0d;;
5;2016-08-24 17:06:07;;2019-03-24 19:33:29;;37.4369000;'-122.1940000;;;650;us;ca;2019-03-24 19:33:29;75869043;dc0fb9a3e2;;
5;2014-10-06 14:19:35;;2019-03-24 19:34:00;;43.3167000;'-1.9758200;;;;es;ss;2019-03-24 19:34:00;75912159;eabe3b1ecf;;
2;2012-06-29 08:55:39;;2019-03-24 19:33:51;;48.7784000;2.3341100;;;;fr;idf;2019-03-24 19:33:51;75900795;029e5f61f5;;
2;2012-06-29 08:55:21;;2019-03-24 19:33:46;;;;;;;;;2019-03-24 19:33:46;75893531;5744f65293;;
2;2012-06-29 08:55:45;;2019-03-24 19:33:56;;;;;;;;;2019-03-24 19:33:56;75906567;8E+12;;
5;2012-06-29 08:56:35;;2019-03-24 19:33:28;;51.5130000;'-0.1340110;;;;uk;wsm;2019-03-24 19:33:28;75867871;6c184676d2;;
3;2016-02-24 19:29:56;;2019-03-24 19:33:59;;33.7877000;'-84.4436000;;;404/678/470;us;ga;2019-03-24 19:33:59;75910911;6e5d0fc240;;
5;2018-06-09 14:13:34;;2019-03-24 19:33:51;;'-37.8140000;144.9640000;;;;au;vic;2019-03-24 19:33:51;75900799;ba09f3d2a2;;
2;2018-08-07 14:28:22;;2019-03-24 19:33:53;;;;;;;;;2019-03-24 19:33:53;75903031;7f938a066a;;
5;2014-02-19 12:19:07;;2019-03-24 19:33:50;;55.8066000;37.6394000;;;;ru;mow;2019-03-24 19:33:50;75899623;f19fe81aa5;;
5;2016-06-07 07:12:36;;2019-03-24 19:33:27;;21.3454000;'-157.8810000;;;808;us;hi;2019-03-24 19:33:27;75866387;7cd8b89ccb;;
5;2017-10-10 17:36:55;;2019-03-24 19:33:38;;40.7528000;'-96.6453000;;;402/531;us;ne;2019-03-24 19:33:38;75883171;8ce7589774;;
2;2015-08-15 13:51:27;;2019-03-24 19:33:41;;48.9019000;2.3045500;;;;fr;idf;2019-03-24 19:33:41;75887243;2184ccb768;;
3;2015-04-13 16:19:50;;2019-03-24 19:33:34;;;;;;;;;2019-03-24 19:33:34;75876527;b13017856a;;
2;2018-11-16 18:18:02;;2019-03-24 19:33:56;;25.9545000;'-80.1836000;;;305/786;us;fl;2019-03-24 19:33:56;75907383;38508306ad;;
2;2015-10-05 10:42:48;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75892191;14259117a6;;
4;2012-06-29 08:56:35;;2019-03-24 19:33:28;;51.5240000;'-0.1104800;;;;uk;isl;2019-03-24 19:33:28;75868523;37db16f8b3;;
5;2018-06-10 04:36:51;;2019-03-24 19:33:51;;'-42.9209000;147.3230000;;;;au;tas;2019-03-24 19:33:51;75900827;ab9913b221;;
3;2012-06-29 08:55:26;;2019-03-24 19:33:48;;45.4087000;'-122.7890000;;;503/971;us;or;2019-03-24 19:33:48;75896579;de631428f6;;
5;2016-08-10 04:04:33;;2019-03-24 19:33:28;;55.6126000;'-4.4964400;;;;uk;eay;2019-03-24 19:33:28;75868111;e06401ee8f;;
5;2016-02-01 14:13:35;;2019-03-24 19:33:55;;43.6165000;1.4673100;;;;fr;occ;2019-03-24 19:33:55;75905115;1e6492f539;;
2;2013-09-17 16:14:46;;2019-03-24 19:33:43;;29.5682000;'-98.2292000;;;830;us;tx;2019-03-24 19:33:43;75889715;d2def1cf1e;;
5;2014-01-07 23:37:20;;2019-03-24 19:33:49;;9.9280700;'-84.0907000;;;;cr;sj;2019-03-24 19:33:49;75897131;3db698da13;;
2;2015-12-16 09:23:45;;2019-03-24 19:33:51;;;;;;;;;2019-03-24 19:33:51;75900695;e4ec0f18a5;;
4;2018-09-19 02:49:51;;2019-03-24 19:33:54;;'-36.8549000;174.7700000;;;;nz;auk;2019-03-24 19:33:54;75904607;b3289c5b77;;
2;2017-04-22 23:44:47;;2019-03-24 19:33:32;;;;;;;;;2019-03-24 19:33:32;75874675;194162d032;;
5;2012-06-29 08:55:39;;2019-03-24 19:33:50;;50.6871000;3.1813300;;;;fr;hdf;2019-03-24 19:33:50;75899163;d46d3d596b;;
4;2013-04-23 08:53:27;;2019-03-24 19:33:39;;;;;;;;;2019-03-24 19:33:39;75884551;ca7ce39ebc;;
4;2015-04-27 15:56:50;;2019-03-24 19:33:35;;48.9155000;2.2678200;;;;fr;idf;2019-03-24 19:33:35;75877971;9258422b64;;
5;2013-04-09 10:43:58;;2019-03-24 19:33:39;;48.8894000;2.3149400;;;;fr;idf;2019-03-24 19:33:39;75884043;8a42473207;;
2;2016-04-04 20:16:04;;2019-03-24 19:33:24;;48.8553000;2.3146800;;;;fr;idf;2019-03-24 19:33:24;75862943;34bbca1191;;
2;2012-06-29 08:55:26;;2019-03-24 19:33:48;;;;;;;;;2019-03-24 19:33:48;75896959;2fd9be498b;;
3;2012-06-29 08:55:45;;2019-03-24 19:33:54;;30.5216000;'-90.3347000;;;985;us;la;2019-03-24 19:33:54;75904731;c75f5f1994;;
5;2018-03-19 19:45:30;;2019-03-24 19:33:47;;37.3300000;'-121.7920000;;;408/669;us;ca;2019-03-24 19:33:47;75894587;f6a991befb;;
5;2012-06-29 08:56:03;;2019-03-24 19:33:59;;53.9596000;'-1.0856300;;;;uk;yor;2019-03-24 19:33:59;75911351;c8e2d6651b;;
2;2015-09-29 21:15:44;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75891539;951fc890c6;;
5;2013-10-07 15:02:50;;2019-03-24 19:33:44;;;;;;;;;2019-03-24 19:33:44;75891227;9497a500ba;;
4;2018-01-30 07:02:51;;2019-03-24 19:33:43;;'-33.8699000;151.2040000;;;;au;nsw;2019-03-24 19:33:43;75889135;198d626b05;;
5;2012-06-29 08:54:08;;2019-03-24 19:33:24;;55.9588000;'-3.2259400;;;;uk;edh;2019-03-24 19:33:24;75863555;b61f3db628;;
5;2015-08-19 02:38:24;;2019-03-24 19:33:42;;;;;;;;;2019-03-24 19:33:42;75887407;49cb1a33a7;;
2;2015-06-27 18:54:26;;2019-03-24 19:33:38;;;;;;;;;2019-03-24 19:33:38;75882851;aa57dc3024;;
5;2014-06-24 18:13:37;;2019-03-24 19:33:54;;;;;;;;;2019-03-24 19:33:54;75904915;85fad6e920;;
2;2016-02-01 15:30:27;;2019-03-24 19:33:56;;53.3404000;'-6.2531900;;;;ie;d;2019-03-24 19:33:56;75907347;a8dd3d69e8;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:57;;38.6615000;'-90.2855000;;;314;us;mo;2019-03-24 19:33:57;75907963;7d6c1c80ff;;
2;2012-06-29 08:54:47;;2019-03-24 19:33:37;;;;;;;;;2019-03-24 19:33:37;75881483;946659ec70;;
3;2012-06-29 08:55:03;;2019-03-24 19:33:40;;50.8451000;4.3512000;;;;be;bru;2019-03-24 19:33:40;75884975;f0683493ee;;
2;2012-06-29 08:54:20;;2019-03-24 19:33:29;;;;;;;;;2019-03-24 19:33:29;75869163;fc55ca3d5b;;
2;2017-08-10 15:46:05;;2019-03-24 19:33:37;;38.8922000;'-77.0278000;;;202;us;dc;2019-03-24 19:33:37;75880707;5948be3fdf;;
2;2012-06-29 08:56:29;;2019-03-24 19:33:26;;;;;;;;;2019-03-24 19:33:26;75865571;c41dc7bcc2;;
2;2012-07-09 18:59:55;;2019-03-24 19:33:29;;46.3890000;'-116.9860000;;;208/986;us;id;2019-03-24 19:33:29;75869639;e573a38b6b;;
2;2012-06-29 08:55:08;;2019-03-24 19:33:42;;;;;;;;;2019-03-24 19:33:42;75888171;c6e6e5ba79;;
2;2014-07-14 05:06:58;;2019-03-24 19:33:55;;;;;;;;;2019-03-24 19:33:55;75905579;5354f4dd3c;;
2;2012-06-29 08:55:59;;2019-03-24 19:33:56;;;;;;;;;2019-03-24 19:33:56;75907619;682fdafdab;;
5;2014-12-01 01:06:25;;2019-03-24 19:33:26;;'-1.2853000;36.8154000;;;;ke;30;2019-03-24 19:33:26;75865483;bdfdf96549;;
5;2016-09-04 16:20:53;;2019-03-24 19:33:29;;41.9033000;'-71.3924000;;;401;us;ri;2019-03-24 19:33:29;75869479;a8baef562d;;
5;2016-05-19 10:54:05;;2019-03-24 19:33:26;;46.2189000;'-71.7769000;;;819;ca;qc;2019-03-24 19:33:26;75865743;18787d498c;;
4;2012-06-29 08:55:21;;2019-03-24 19:33:46;;'-37.6349000;145.0850000;;;;au;vic;2019-03-24 19:33:46;75893663;dad4175395;;
2;2014-12-29 16:50:18;;2019-03-24 19:33:27;;;;;;;;;2019-03-24 19:33:27;75867579;6f1a7ea648;;
5;2016-03-29 15:10:40;;2019-03-24 19:33:23;;;;;;;;;2019-03-24 19:33:23;75861955;becb130f0b;;
5;2014-03-26 22:36:11;;2019-03-24 19:33:52;;37.4056000;'-122.0780000;;;650;us;ca;2019-03-24 19:33:52;75901259;58955797cc;;
2;2015-08-13 19:20:03;;2019-03-24 19:33:41;;40.7155000;'-73.9884000;;;212/332/646/917;us;ny;2019-03-24 19:33:41;75887139;663450d6fb;;
5;2015-11-10 09:01:07;;2019-03-24 19:33:49;;;;;;;;;2019-03-24 19:33:49;75898207;ac3842ab45;;
5;2012-06-29 08:56:29;;2019-03-24 19:33:23;;37.4369000;'-122.1940000;;;650;us;ca;2019-03-24 19:33:23;75862319;412e59ce19;;
2;2012-06-29 08:55:45;;2019-03-24 19:33:56;;;;;;;;;2019-03-24 19:33:56;75906595;e9d5e5f612;;
2;2012-06-29 08:55:26;;2019-03-24 19:33:49;;;;;;;;;2019-03-24 19:33:49;75897211;a15e072de5;;
4;2012-11-20 17:11:57;;2019-03-24 19:33:34;;49.3078000;'-123.0060000;;;604;ca;bc;2019-03-24 19:33:34;75877215;26bfc4cd0b;;
5;2017-11-12 06:45:12;;2019-03-24 19:33:40;;51.5276000;'-2.5755700;;;;uk;sgc;2019-03-24 19:33:40;75885907;21b525561b;;
2;2017-06-26 04:14:30;;2019-03-24 19:33:34;;;;;;;;;2019-03-24 19:33:34;75877483;a343e15825;;
2;2016-03-28 13:00:42;;2019-03-24 19:34:00;;55.8631000;'-4.2595200;;;;uk;glg;2019-03-24 19:34:00;75912475;13cc9e2879;;
2;2012-06-29 08:54:47;;2019-03-24 19:33:36;;36.0337000;'-80.3960000;;;336/743;us;nc;2019-03-24 19:33:36;75879955;5cbfb04951;;
2;2012-06-29 08:55:08;;2019-03-24 19:33:43;;38.4716000;'-78.0140000;;;540;us;va;2019-03-24 19:33:43;75889039;282a20ef18;;
5;2012-06-29 08:55:21;;2019-03-24 19:33:47;;56.6610000;12.7752000;;;;se;n;2019-03-24 19:33:47;75894767;c6bf3c34ff;;
2;2012-06-29 08:55:26;;2019-03-24 19:33:50;;;;;;;;;2019-03-24 19:33:50;75899035;718f076b2e;;
2;2018-01-16 16:12:22;;2019-03-24 19:33:42;;51.5394000;'-0.1179310;;;;uk;isl;2019-03-24 19:33:42;75887983;c2c7192b0b;;
3;2018-04-16 09:11:28;;2019-03-24 19:33:49;;51.5080000;'-0.1338100;;;;uk;wsm;2019-03-24 19:33:49;75898095;945758ea2c;;
3;2012-06-29 08:55:03;;2019-03-24 19:33:39;;51.4449000;'-0.3401370;;;;uk;ric;2019-03-24 19:33:39;75884427;9ab45c05e3;;
5;2016-08-23 14:54:23;;2019-03-24 19:33:28;;38.9367000;'-77.1777000;;;703/571;us;va;2019-03-24 19:33:28;75868927;2a4a2bc9e4;;
2;2018-03-09 12:42:59;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75891563;4147222bec;;
4;2015-03-26 12:32:26;;2019-03-24 19:33:32;;40.6313000;'-74.8856000;;;908;us;nj;2019-03-24 19:33:32;75874679;3cfdeec166;;
5;2015-05-05 15:43:25;;2019-03-24 19:33:35;;53.3404000;'-6.2531900;;;;ie;d;2019-03-24 19:33:35;75878691;e5d7a69353;;
5;2012-10-15 17:23:58;;2019-03-24 19:33:32;;18.8000000;98.9830000;;;;th;50;2019-03-24 19:33:32;75874539;60083a638f;;
2;2016-03-24 13:06:04;;2019-03-24 19:34:00;;;;;;;;;2019-03-24 19:34:00;75912315;c74529b957;;
5;2014-09-01 16:32:01;;2019-03-24 19:33:58;;51.8909000;0.9009050;;;;uk;ess;2019-03-24 19:33:58;75909863;799ea1f66c;;
2;2017-12-18 19:14:23;;2019-03-24 19:33:41;;48.8277000;2.3615200;;;;fr;idf;2019-03-24 19:33:41;75887175;227131caeb;;
5;2015-01-11 21:36:37;;2019-03-24 19:33:28;;;;;;;;;2019-03-24 19:33:28;75868239;be4c155755;;
5;2017-06-13 16:57:51;;2019-03-24 19:33:34;;51.5171000;'-0.1342180;;;;uk;cmd;2019-03-24 19:33:34;75876803;6a7729965e;;
3;2015-11-16 18:41:29;;2019-03-24 19:33:50;;;;;;;;;2019-03-24 19:33:50;75898691;26078a5d05;;
5;2015-10-02 15:33:47;;2019-03-24 19:33:45;;38.9993000;'-76.9750000;;;301/240;us;md;2019-03-24 19:33:45;75891943;6fda7b7a40;;
4;2016-08-09 20:00:44;;2019-03-24 19:33:28;;42.6972000;23.3294000;;;;bg;22;2019-03-24 19:33:28;75868019;90bdd37c82;;
5;2015-03-17 19:50:39;;2019-03-24 19:33:32;;51.0659000;2.7337400;;;;be;vwv;2019-03-24 19:33:32;75874083;b59efeea52;;
4;2018-06-04 10:18:42;;2019-03-24 19:33:51;;48.8593000;2.3769500;;;;fr;idf;2019-03-24 19:33:51;75900355;535b7b1018;;
5;2012-06-29 08:56:35;;2019-03-24 19:33:27;;;;;;;;;2019-03-24 19:33:27;75867187;94cbea7d9c;;
5;2014-05-07 20:50:00;;2019-03-24 19:33:53;;43.8061000;'-79.5008000;;;905;ca;on;2019-03-24 19:33:53;75902991;f024ab5f58;;
2;2014-11-03 16:03:41;;2019-03-24 19:33:24;;;;;;;;;2019-03-24 19:33:24;75863271;8e8240fecf;;
5;2019-02-15 16:42:23;;2019-03-24 19:33:59;;40.6844000;'-73.9804000;;;718/347;us;ny;2019-03-24 19:33:59;75911075;3a5540257f;;
2;2016-02-01 15:30:27;;2019-03-24 19:33:57;;50.7383000;7.0990800;;;;de;nw;2019-03-24 19:33:57;75908619;65beefb1b9;;
5;2018-01-30 07:54:52;;2019-03-24 19:33:43;;12.9606000;77.5841000;;;;in;ka;2019-03-24 19:33:43;75889151;9ef9569ea0;;
5;2017-10-23 07:50:37;;2019-03-24 19:33:39;;27.1379000;77.9835000;;;;in;up;2019-03-24 19:33:39;75883655;1c925fffdd;;
5;2014-05-28 12:58:29;;2019-03-24 19:33:54;;;;;;;;;2019-03-24 19:33:54;75903931;92925d8448;;
5;2015-08-16 08:49:38;;2019-03-24 19:33:41;;48.8894000;2.3149400;;;;fr;idf;2019-03-24 19:33:41;75887275;d2490483b8;;
2;2016-02-01 15:30:27;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75907983;7c8e1d1ffd;;
2;2014-10-30 03:09:39;;2019-03-24 19:33:24;;;;;;;;;2019-03-24 19:33:24;75863067;abeabb4f92;;
2;2014-08-07 12:18:21;;2019-03-24 19:33:56;;;;;;;;;2019-03-24 19:33:56;75907459;2013fe65b5;;
2;2013-04-29 15:39:10;;2019-03-24 19:33:40;;51.5590000;'-0.1777860;;;;uk;cmd;2019-03-24 19:33:40;75884883;68e6af4c04;;
5;2015-10-19 15:22:54;;2019-03-24 19:33:47;;42.4639000;'-82.9462000;;;586;us;mi;2019-03-24 19:33:47;75895275;5b1f012198;;
4;2015-02-27 22:23:52;;2019-03-24 19:33:31;;40.7865000;'-73.9786000;;;212/332/646/917;us;ny;2019-03-24 19:33:31;75872651;226a38a101;;
5;2012-06-29 08:55:59;;2019-03-24 19:33:58;;37.4369000;'-122.1940000;;;650;us;ca;2019-03-24 19:33:58;75909023;edc7d049fb;;
4;2018-05-14 17:59:14;;2019-03-24 19:33:50;;40.7262000;'-74.0487000;;;201/551;us;nj;2019-03-24 19:33:50;75899567;97c959c88c;;
5;2012-06-29 08:54:21;;2019-03-24 19:33:32;;48.8923000;2.3443900;;;;fr;idf;2019-03-24 19:33:32;75873451;7d95eb0479;;
2;2012-06-29 08:54:20;;2019-03-24 19:33:30;;46.5089000;6.3070200;;;;ch;vd;2019-03-24 19:33:30;75870763;654553135a;;
4;2012-06-29 08:54:41;;2019-03-24 19:33:34;;43.7223000;3.9247100;;;;fr;occ;2019-03-24 19:33:34;75876587;684a331fac;;
5;2016-12-12 23:46:54;;2019-03-24 19:33:31;;'-37.9527000;145.0140000;;;;au;vic;2019-08-27 06:19:15;75872827;2babfa23e1;;
5;2012-06-29 08:55:39;;2019-03-24 19:33:51;;;;;;;;;2019-03-24 19:33:51;75900427;5eea967d5f;;
5;2016-02-02 07:44:37;;2019-03-24 19:33:58;;40.7653000;'-73.9638000;;;212/332/646/917;us;ny;2019-03-24 19:33:58;75909191;d21bf9468e;;
2;2018-09-26 11:38:11;;2019-03-24 19:33:54;;44.1366000;4.8050100;;;;fr;pac;2019-03-24 19:33:54;75904831;30bcf80bb2;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:56;;43.6883000;'-79.4496000;;;416;ca;on;2019-03-24 19:33:56;75906867;a3af89b59c;;
4;2018-02-05 10:03:08;;2019-03-24 19:33:43;;51.0471000;'-2.4221700;;;;uk;som;2019-03-24 19:33:43;75889543;7b7cebf580;;
2;2014-02-10 19:16:43;;2019-03-24 19:33:50;;;;;;;;;2019-03-24 19:33:50;75899379;2bfc31c978;;
2;2015-02-23 11:11:44;;2019-03-24 19:33:31;;;;;;;;;2019-03-24 19:33:31;75871979;870e97d584;;
5;2016-01-20 16:06:34;;2019-03-24 19:33:53;;;;;;;;;2019-03-24 19:33:53;75903451;ca7d697c64;;
2;2015-03-18 15:02:51;;2019-03-24 19:33:32;;;;;;;;;2019-03-24 19:33:32;75874163;e2134f06f9;;
5;2018-01-15 22:28:24;;2019-03-24 19:33:42;;51.4928000;'-0.0801520;;;;uk;swk;2019-03-24 19:33:42;75887763;846b9f4368;;
2;2019-07-30 21:23:53;;2019-07-30 21:23:53;104.129.198.135;34.0441000;'-118.4510000;;;310/424/818;us;ca;2019-07-30 21:23:53;91004415;becc60ab86;;
4;2017-10-24 13:06:21;;2019-03-24 19:33:39;;40.4004000;'-74.3246000;;;732/848;us;nj;2019-03-24 19:33:39;75884155;419a8f98a3;;
5;2017-05-31 21:37:32;;2019-03-24 19:33:34;;43.0362000;'-87.9170000;;;414;us;wi;2019-03-24 19:33:34;75876375;489a5257c4;;
5;2012-06-29 08:54:20;;2019-03-24 19:33:28;;37.5702000;'-122.3600000;;;650;us;ca;2019-03-24 19:33:28;75868971;c06d7e303e;;
2;2014-10-06 13:01:43;;2019-03-24 19:34:00;;;;;;;;;2019-03-24 19:34:00;75912099;8313aca365;;
2;2012-06-29 08:54:21;;2019-03-24 19:33:30;;'-20.9300000;55.3020000;;;;re;no region;2019-03-24 19:33:30;75871611;2fa2559886;;
3;2012-06-29 08:56:03;;2019-03-24 19:33:59;;'-33.8053000;150.9870000;;;;au;nsw;2019-03-24 19:33:59;75911083;db3479a11a;;
4;2016-05-26 09:01:46;;2019-03-24 19:33:26;;51.4167000;'-1.3197500;;;;uk;wbk;2019-03-24 19:33:26;75866147;4d13c2114c;;
3;2012-06-29 08:55:59;;2019-03-24 19:33:57;;51.5929000;'-0.3840760;;;;uk;hrw;2019-03-24 19:33:57;75908975;644fa8b7c2;;
2;2012-06-29 08:55:59;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75908943;fb3363fefb;;
5;2013-12-09 10:19:31;;2019-03-24 19:33:47;;42.7161000;'-74.9067000;;;607;us;ny;2019-03-24 19:33:47;75895499;ea1252ae4a;;
2;2016-02-03 12:14:49;;2019-03-24 19:33:58;;51.5591000;'-0.2493080;;;;uk;ben;2019-03-24 19:33:58;75909411;e4a9c26eba;;
2;2012-06-29 08:55:08;;2019-03-24 19:33:43;;;;;;;;;2019-03-24 19:33:43;75889263;cef5b46c71;;
5;2018-03-19 11:44:26;;2019-03-24 19:33:46;;'-37.8140000;144.9640000;;;;au;vic;2019-03-24 19:33:46;75893403;f02b1bbdb4;;
5;2013-05-21 14:36:05;;2019-03-24 19:33:40;;48.8593000;2.3769500;;;;fr;idf;2019-03-24 19:33:40;75885999;8af3ff10e8;;
2;2016-08-25 05:01:12;;2019-03-24 19:33:29;;34.1446000;'-118.3900000;;;747/818;us;ca;2019-03-24 19:33:29;75869099;41094b7462;;
2;2013-09-19 23:59:29;;2019-03-24 19:33:44;;42.0622000;'-71.2435000;;;508/774;us;ma;2019-03-24 19:33:44;75890071;cee58599f6;;
5;2012-06-29 08:54:20;;2019-03-24 19:33:28;;48.8325000;2.2406000;;;;fr;idf;2019-03-24 19:33:28;75868535;f4eef3e3d6;;
2;2015-06-18 08:18:21;;2019-03-24 19:33:38;;;;;;;;;2019-03-24 19:33:38;75882091;2baeb6443e;;
5;2012-06-29 08:54:41;;2019-03-24 19:33:34;;51.5227000;'-0.1811950;;;;uk;wsm;2019-03-24 19:33:34;75877059;e9274ed3c1;;
2;2014-09-29 09:23:03;;2019-03-24 19:34:00;;;;;;;;;2019-03-24 19:34:00;75911775;34f00248a6;;
5;2013-09-04 08:25:20;;2019-03-24 19:33:43;;;;;;;;;2019-03-24 19:33:43;75888967;f41b4004d3;;
5;2012-10-21 22:19:47;;2019-03-24 19:33:32;;40.7200000;'-74.0037000;;;212/646/917/929;us;ny;2019-03-24 19:33:32;75874755;09fdcfe256;;
3;2015-11-04 01:43:45;;2019-03-24 19:33:49;;;;;;;;;2019-03-24 19:33:49;75897663;46bc799ee2;;
5;2012-09-24 13:42:38;;2019-03-24 19:33:31;;20.6729000;'-103.2920000;;;;mx;jal;2019-03-24 19:33:31;75873035;472b23b8bb;;
2;2016-03-22 10:49:38;;2019-03-24 19:34:00;;45.4580000;9.1627100;;;;it;mi;2019-03-24 19:34:00;75912287;13bf2d0c24;;
5;2012-06-29 08:56:29;;2019-03-24 19:33:26;;40.7858000;'-73.6370000;;;516;us;ny;2019-03-24 19:33:26;75865543;d6a1e08fa6;;
2;2015-05-29 11:53:35;;2019-03-24 19:33:37;;;;;;;;;2019-03-24 19:33:37;75880491;046233437c;;
2;2012-06-29 08:55:45;;2019-03-24 19:33:53;;9.9280700;'-84.0907000;;;;cr;sj;2019-03-24 19:33:53;75903307;fe4539e571;;
5;2012-06-29 08:54:20;;2019-03-24 19:33:29;;;;;;;;;2019-03-24 19:33:29;75870419;42fa838923;;
5;2012-12-17 02:27:54;;2019-03-24 19:33:35;;44.9949000;'-93.1812000;;;651;us;mn;2019-03-24 19:33:35;75878931;b806a7ebbb;;
5;2012-06-29 08:56:35;;2019-03-24 19:33:26;;43.6682000;'-79.4209000;;;416;ca;on;2019-03-24 19:33:26;75865711;11f90ef9e2;;
2;2019-05-16 19:49:32;;2019-05-16 19:49:32;46.183.103.17;49.5855000;10.9931000;1;2;;de;by;2019-05-16 19:49:32;87993687;64462f6a4c;;
4;2019-03-26 23:45:32;;2019-03-26 23:45:32;71.190.182.51;40.9898000;'-73.8001000;'-5;'-4;914;us;ny;2019-03-26 23:45:32;76104483;fe157ff2ff;;
